prompt 1:
世界上最高的山是什么？珠穆朗玛峰，海拔8848米。那么，世界最深的海沟有多深呢？马里亚纳海沟，深达11034米！
马里亚纳海沟是目前所知地球上最深的海沟，该海沟地处北太平洋西部海床，靠近关岛的马里亚纳群岛的东方，该海沟为两个板块辐辏俯冲带，太平洋板块在这里俯冲到菲律宾板块（或细分出的马里亚纳板块）之下形成海沟。
马里亚纳海沟全长2550千米，为弧形，平均宽70千米，大部分水深在8000米以上。最大水深在斐查兹海渊，为11034米，是地球的最深点。马里亚纳海沟存在大量的热液喷口，为研究海洋生物起源提供了理想的场所。同时，马里亚纳海沟也是人类了解最少的地方，由于其超高的水压、低温和缺氧等极端环境，使得人类难以深入其中进行科考工作。
2020年10月27日，我国“奋斗者”号载人潜水器在马里亚纳海沟成功下潜突破1万米达到10058米，创造了中国载人深潜的新纪录。11月10日8时12分，“奋斗者”号在马里亚纳海沟成功坐底，坐底深度10909米，刷新中国载人深潜的新纪录。
“奋斗者”号的研制成功，为探索深海深渊极限环境，包括对深渊生命、深渊地质、深渊环境等开展科学考察，提供了重要支撑。 1. 车辆购置税是对在我国境内购置规定车辆的单位和个人征收的一种税，它由车辆购置附加费演变而来。
 2. 车辆购置税的纳税人为购置(包括购买、进口、自产、受赠、获奖或以其他方式取得并自用)应税车辆的单位和个人，征税范围为汽车、摩托车、电车、挂车、农用运输车。
 3. 根据《中华人民共和国车辆购置税暂行条例》第三条 车辆购置税实行从价定率的办法计算应纳税额。应纳税额计算公式：
 应纳税额=计税价格×税率
 4. 如果消费者买的是国产私车，计税价格为支付给经销商的全部价款和价外费用，不包括增值税税款(税率17%)。
 因为机动车销售专用发票的购车价中均含增值税税款，所以在计征车辆购置税税额时，必须先将17%的增值税剔除，即车辆购置税计税价格=发票价÷1.17，然后再按10%的税率计征车辆购置税。
 比如，消费者购买一辆10万元的国产车，去掉增值税部分后按10%纳税。计算公式是100000÷1.17×0.1=8547元。
 5. 如果消费者买的是进口私车，计税价格的计算公式为：计税价格=关税完税价格+关税+消费税
 6. 车辆购置税的应税行为包括以下几种情况：
 （1）购买使用行为；
 （2）受赠使用行为；
 （3）获奖使用行为；
 （4）自产自用行为；
 （5）其他自用行为（如走私、罚没等）。 1. 《中华人民共和国车辆购置税法》已经于2018年12月29日通过，自2019年7月1日起施行。
 2. 《车辆购置税法》第四条规定，车辆购置税实行一次性征收，只在购置环节征收。
 3. 《车辆购置税法》第六条规定，纳税人购置应税车辆，应当向车辆登记地的主管税务机关申报缴纳车辆购置税；纳税人购置不需要办理车辆登记的应税车辆的，应当向纳税人所在地的主管税务机关申报缴纳车辆购置税。
 4. 《车辆购置税法》第十一条规定，纳税人购置应税车辆，应当向车辆登记地的主管税务机关申报缴纳车辆购置税;纳税人购置不需要办理车辆登记的应税车辆的，应当向纳税人所在地的主管税务机关申报缴纳车辆购置税。
 5. 《车辆购置税法》第十二条规定，纳税人购置应税车辆，应当向车辆登记地的主管税务机关申报缴纳车辆购置税;纳税人购置不需要办理车辆登记的应税车辆的，应当向纳税人所在地的主管税务机关申报缴纳车辆购置税。
 6. 《车辆购置税法》第十五条规定，纳税人将已征车辆购置税的车辆退回车辆生产企业或者销售企业的，可以向主管税务机关申请退还车辆购置税。
 退税额以已缴税款为基准，自缴纳税款之日至申请退税之日，每满一年扣减百分之十。
 7. 《车辆购置税法》第十六条规定，税务机关及其工作人员对税收征收管理过程中知悉的纳税人的个人信息，应当依法予以保密。
 8. 《车辆购置税法》第十七条规定，纳税人、税务机关及其工作人员违反本法规定的，依照《中华人民共和国税收征收管理法》和其他有关法律、行政法规的规定追究法律责任。
 9. 《车辆购置税法》第十八条规定，纳税人以外汇结算应税车辆价款的，按照申报纳税之日中国人民银行公布的人民币基准汇价，折合成人民币计算应纳税额。
 10. 《车辆购置税法》第二十条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 11. 《车辆购置税法》第二十一条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 12. 《车辆购置税法》第二十二条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 13. 《车辆购置税法》第二十三条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 14. 《车辆购置税法》第二十四条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 15. 《车辆购置税法》第二十五条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 16. 《车辆购置税法》第二十六条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 17. 《车辆购置税法》第二十七条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 18. 《车辆购置税法》第二十八条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 19. 《车辆购置税法》第二十九条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 20. 《车辆购置税法》第三十条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 21. 《车辆购置税法》第三十一条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 22. 《车辆购置税法》第三十二条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 23. 《车辆购置税法》第三十三条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 24. 《车辆购置税法》第三十四条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 25. 《车辆购置税法》第三十五条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 26. 《车辆购置税法》第三十六条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 27. 《车辆购置税法》第三十七条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 28. 《车辆购置税法》第三十八条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 29. 《车辆购置税法》第三十九条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 30. 《车辆购置税法》第四十条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 31. 《车辆购置税法》第四十一条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 32. 《车辆购置税法》第四十二条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 33. 《车辆购置税法》第四十三条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 34. 《车辆购置税法》第四十四条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 35. 《车辆购置税法》第四十五条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 36. 《车辆购置税法》第四十六条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 37. 《车辆购置税法》第四十七条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 38. 《车辆购置税法》第四十八条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 39. 《车辆购置税法》第四十九条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。
 40. 《车辆购置税法》第五十条规定，本法自2019年7月1日起施行。2000年10月22日国务院公布的《中华人民共和国车辆购置税暂行条例》同时废止。1. 车辆购置税是对在我国境内购置规定车辆的单位和个人征收的一种税，它由车辆购置附加费演变而来。
 2. 车辆购置税的纳税人为购置(包括购买、进口、自产、受赠、获奖或以其他方式取得并自用)应税车辆的单位和个人，征税范围为汽车、摩托车、电车、挂车、农用运输车。
 3. 根据《中华人民共和国车辆购置税暂行条例》第三条 车辆购置税实行从价定率的办法计算应纳税额。应纳税额计算公式：
 应纳税额=计税价格×税率
 4. 如果消费者买的是国产私车，计税价格为支付给经销商的全部价款和价外费用，不包括增值税税款(税率17%)。
 因为机动车销售专用发票的购车价中均含增值税税款，所以在计征车辆购置税税额时，必须先将17%的增值税剔除，即车辆购置税计税价格=发票价÷1.17，然后再按10%的税率计征车辆购置税。
 比如，消费者购买一辆10万元的国产车，去掉增值税部分后按10%纳税。计算公式是100000÷1.17×0.1=8547元。
 5. 如果消费者买的是进口私车，计税价格的计算公式为：计税价格=关税完税价格+关税+消费税
 6. 车辆购置税的应税行为包括以下几种情况：
 （1）购买使用行为；
 （2）受赠使用行为；
 （3）获奖使用行为；
 （4）自产自用行为；
 （5）其他自用行为（如走私、罚没等）。 
 1. 财政部、国家税务总局关于减征1.6升及以下排量乘用车车辆购置税的通知
 2. 关于新能源汽车免征车辆购置税有关政策的公告
 3. 财政部 税务总局 工业和信息化部 海关总署关于对挂车减征车辆购置税的公告
 4. 财政部 税务总局 工业和信息化部 海关总署关于对城市公交企业购置公共汽电车辆免征车辆购置税政策延续的公告
 5. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的通知
 6. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第一批）的公告
 7. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第二批）的公告
 8. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第三批）的公告
 9. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第四批）的公告
 10. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第五批）的公告
 11. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第六批）的公告
 12. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第七批）的公告
 13. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第八批）的公告
 14. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第九批）的公告
 15. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第十批）的公告
 16. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第十一批）的公告
 17. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第十二批）的公告
 18. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第十三批）的公告
 19. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第十四批）的公告
 20. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第十五批）的公告
 21. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第十六批）的公告
 22. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第十七批）的公告
 23. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第十八批）的公告
 24. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第十九批）的公告
 25. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第二十批）的公告
 26. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第二十一批）的公告
 27. 财政部 税务总局 工业和信息化部 海关总署关于节约能源 使用新能源车辆减免车船税的车型目录（第二十二批）的公告
 28. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 29. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 30. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 31. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 32. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 33. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 34. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 35. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 36. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 37. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 38. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 39. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 40. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 41. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 42. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 43. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 44. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 45. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 46. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 47. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 48. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 49. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 50. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 51. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 52. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 53. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 54. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 55. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 56. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 57. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 58. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 59. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 60. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 61. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 62. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 63. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 64. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 65. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 66. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 67. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 68. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 69. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 70. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 71. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 72. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 73. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 74. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 75. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 76. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 77. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 78. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 79. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 80. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 81. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 82. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 83. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 84. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 85. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 86. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 87. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 88. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 89. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 90. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 91. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 92. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 93. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 94. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 95. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 96. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
 97. 财政部 税务总局 工业和信息化部 海关总署关于节能 新能源车船享受车船税优惠政策的补充通知
